fecha,AAPL,MSFT,GOOGL,AMZN,SPY
2024-03-07,284.86,532.41,132.51,163.8,527.07
2024-03-08,285.94,530.93,131.75,165.0,529.73
2024-03-11,284.66,528.76,130.03,164.28,530.05
2024-03-12,272.08,514.56,125.14,153.1,517.87
2024-03-13,271.86,516.27,123.23,157.16,518.85
2024-03-14,270.56,522.65,124.8,160.08,524.19
2024-03-15,262.03,520.4,122.5,157.74,521.19
2024-03-18,259.26,518.48,122.91,157.17,521.01
2024-03-19,252.93,504.06,118.26,153.45,520.63
2024-03-20,254.13,504.96,118.47,156.14,523.87
2024-03-21,249.73,504.35,117.58,156.62,517.44
2024-03-22,243.83,499.49,113.39,153.75,512.03
2024-03-25,244.54,502.31,114.21,155.57,513.03
2024-03-26,244.6,517.48,117.68,159.89,520.48
2024-03-27,241.95,515.01,116.54,160.79,516.67
2024-03-28,233.25,499.91,114.1,162.29,511.74
2024-03-29,229.82,494.01,111.43,159.16,504.87
2024-04-01,224.08,488.04,109.92,156.17,500.5
2024-04-02,231.51,499.35,112.1,162.0,505.09
2024-04-03,234.41,499.66,111.53,162.67,509.8
2024-04-04,231.81,500.82,111.71,158.95,510.12
2024-04-05,228.95,489.5,108.76,154.22,504.81
2024-04-08,226.46,493.39,109.06,152.47,502.57
2024-04-09,227.41,484.83,105.35,148.13,498.98
2024-04-10,228.18,486.1,105.35,143.7,497.38
2024-04-11,222.03,481.46,103.72,141.04,493.21
2024-04-12,223.29,484.47,104.72,140.82,491.97
2024-04-15,224.62,493.58,107.32,142.61,497.82
2024-04-16,223.21,493.48,106.25,142.05,500.87
2024-04-17,226.07,505.3,107.09,142.41,505.04
2024-04-18,228.2,507.44,109.04,142.86,510.52
2024-04-19,231.84,507.15,110.43,143.86,515.17
2024-04-22,230.02,506.16,110.72,137.84,508.16
2024-04-23,230.62,506.46,112.24,139.2,506.94
2024-04-24,231.95,504.64,111.94,138.19,507.29
2024-04-25,226.95,491.9,106.56,138.14,497.65
2024-04-26,224.02,482.12,104.07,134.81,493.22
2024-04-29,224.77,484.86,103.75,134.84,496.58
2024-04-30,224.82,486.49,101.38,134.78,496.2
2024-05-01,229.56,479.86,101.44,135.13,496.74
2024-05-02,227.4,477.88,101.7,134.78,494.89
2024-05-03,226.71,475.05,101.28,132.82,488.8
2024-05-06,231.67,473.44,101.73,131.33,489.24
2024-05-07,228.22,468.49,99.52,126.76,484.61
2024-05-08,233.09,476.66,101.32,127.02,489.02
2024-05-09,234.74,475.66,102.55,127.73,490.99
2024-05-10,232.91,470.75,101.89,127.44,489.45
2024-05-13,229.19,462.19,100.2,121.95,485.3
2024-05-14,230.3,463.71,99.61,123.38,485.59
2024-05-15,237.25,474.63,100.07,126.77,490.81
2024-05-16,235.26,470.67,99.08,126.07,489.93
2024-05-17,236.89,469.21,97.46,123.9,489.07
2024-05-20,240.08,481.83,97.64,125.34,493.07
2024-05-21,238.49,480.16,96.85,123.98,489.69
2024-05-22,239.9,486.97,99.69,124.96,491.34
2024-05-23,238.83,481.25,100.07,123.03,489.23
2024-05-24,233.75,472.56,98.46,123.56,483.29
2024-05-27,235.03,464.26,96.21,120.65,478.3
2024-05-28,236.55,468.98,94.99,121.43,477.05
2024-05-29,243.39,479.2,97.21,123.88,483.6
2024-05-30,243.3,475.53,97.61,124.24,484.57
2024-05-31,242.96,478.11,96.85,130.56,485.33
2024-06-03,241.16,480.15,98.19,129.41,481.93
2024-06-04,235.81,468.12,95.05,125.7,476.38
2024-06-05,239.76,470.15,96.41,128.79,482.86
2024-06-06,239.05,465.5,96.59,131.27,481.35
2024-06-07,246.39,482.93,99.22,131.89,488.01
2024-06-10,244.91,483.34,96.94,135.12,492.31
2024-06-11,242.02,470.4,94.83,133.36,489.3
2024-06-12,244.63,472.53,93.08,133.89,491.45
2024-06-13,243.31,471.88,92.96,132.94,487.87
2024-06-14,244.5,466.43,94.07,131.55,488.09
2024-06-17,241.57,464.22,93.07,131.24,484.11
2024-06-18,235.31,454.66,90.66,125.23,474.65
2024-06-19,229.06,446.86,88.43,122.33,473.53
2024-06-20,229.5,448.84,89.3,122.62,473.43
2024-06-21,232.56,457.22,87.36,122.2,474.2
2024-06-24,230.36,459.78,86.65,123.01,472.64
2024-06-25,228.74,460.71,85.64,121.8,468.83
2024-06-26,225.43,459.31,85.56,118.92,463.73
2024-06-27,234.51,468.13,86.69,122.44,469.01
2024-06-28,233.01,470.04,87.65,122.32,472.07
2024-07-01,232.33,467.69,87.22,121.15,471.55
2024-07-02,233.2,464.91,87.16,120.02,469.43
2024-07-03,232.54,468.49,87.63,122.5,474.29
2024-07-04,232.26,464.97,86.3,121.9,473.98
2024-07-05,237.96,466.02,88.09,125.8,483.64
2024-07-08,238.51,466.29,86.47,123.46,479.53
2024-07-09,234.61,456.79,83.33,120.19,473.48
2024-07-10,237.31,459.56,84.97,123.55,474.09
2024-07-11,236.17,452.14,83.0,122.02,469.8
2024-07-12,241.57,468.25,85.65,124.97,477.6
2024-07-15,241.42,470.53,85.01,125.69,477.3
2024-07-16,245.39,481.97,88.43,128.62,481.44
2024-07-17,238.88,471.87,85.0,121.84,471.62
2024-07-18,235.14,470.01,86.28,121.3,471.15
2024-07-19,229.32,462.94,84.0,116.64,460.62
2024-07-22,235.12,462.93,83.48,117.3,462.94
2024-07-23,236.17,464.66,82.82,118.48,464.0
2024-07-24,230.81,464.94,81.74,118.58,458.69
2024-07-25,226.52,456.43,79.65,117.86,450.55
2024-07-26,227.1,452.46,79.81,118.15,448.96
2024-07-29,235.2,462.76,82.91,119.53,455.99
2024-07-30,235.54,463.76,82.65,118.0,449.46
2024-07-31,233.46,456.73,81.41,118.01,450.81
2024-08-01,235.45,463.96,82.97,120.9,456.19
2024-08-02,234.53,461.2,82.89,123.76,457.81
2024-08-05,240.63,463.02,84.11,126.4,462.89
2024-08-06,235.57,448.16,79.87,121.39,458.12
2024-08-07,236.48,443.89,79.89,120.76,457.57
2024-08-08,234.91,436.25,78.42,120.44,454.86
2024-08-09,239.6,437.33,80.12,122.47,458.86
2024-08-12,244.52,442.77,81.53,125.71,465.1
2024-08-13,247.89,452.78,83.48,127.32,475.39
2024-08-14,248.01,454.85,82.96,123.19,472.52
2024-08-15,248.54,458.14,83.41,125.27,476.63
2024-08-16,252.73,463.5,84.57,126.67,478.72
2024-08-19,258.78,465.22,85.44,128.83,477.98
2024-08-20,262.15,467.83,86.38,129.56,477.37
2024-08-21,263.28,469.93,87.84,131.74,476.48
2024-08-22,268.23,479.84,90.32,135.71,481.7
2024-08-23,270.83,481.43,94.12,138.08,483.69
2024-08-26,269.72,487.41,93.98,133.37,486.17
2024-08-27,271.46,487.34,95.07,132.54,484.64
2024-08-28,275.91,490.35,96.63,134.43,490.06
2024-08-29,276.74,481.58,96.65,133.21,489.93
2024-08-30,277.58,489.79,97.31,130.27,490.74
2024-09-02,280.19,491.42,97.3,133.76,492.89
2024-09-03,285.24,498.28,96.99,133.05,494.84
2024-09-04,286.98,496.5,95.39,130.48,492.05
2024-09-05,283.35,489.72,96.46,130.72,488.62
2024-09-06,283.65,498.16,98.2,132.07,489.25
2024-09-09,276.48,488.36,96.14,126.3,479.1
2024-09-10,276.62,477.99,93.1,124.15,475.58
2024-09-11,278.33,485.02,95.92,128.04,480.21
2024-09-12,288.16,505.04,100.49,131.6,492.15
2024-09-13,279.16,493.16,95.13,126.09,484.23
2024-09-16,279.6,502.06,96.15,127.47,486.85
2024-09-17,282.33,505.45,98.34,132.44,492.37
2024-09-18,277.77,503.19,99.2,133.43,492.18
2024-09-19,282.33,515.8,98.0,137.45,498.74
2024-09-20,284.91,516.4,98.73,139.69,497.75
2024-09-23,288.73,521.73,101.65,143.82,502.83
2024-09-24,289.42,526.33,102.47,145.99,503.79
2024-09-25,284.22,517.44,99.16,141.23,497.84
2024-09-26,277.43,503.33,97.76,137.52,490.92
2024-09-27,272.5,492.56,95.7,138.35,487.32
2024-09-30,265.81,487.07,95.38,138.22,481.5
2024-10-01,265.94,498.12,95.51,139.83,483.1
2024-10-02,261.07,490.29,95.31,140.89,478.51
2024-10-03,259.54,484.39,92.17,139.81,477.95
2024-10-04,266.16,490.61,95.28,145.73,484.51
2024-10-07,266.56,489.68,95.58,150.06,484.2
2024-10-08,262.03,488.82,95.02,144.85,478.73
2024-10-09,259.08,482.62,94.42,145.84,476.3
2024-10-10,260.14,480.74,95.64,149.77,477.78
2024-10-11,257.58,488.1,97.24,148.95,475.93
2024-10-14,256.86,493.56,97.16,148.77,475.93
2024-10-15,259.99,505.04,97.38,149.83,479.52
2024-10-16,257.94,496.87,97.31,149.4,478.69
2024-10-17,264.67,504.07,99.76,151.96,484.44
2024-10-18,266.58,506.15,98.5,155.36,486.3
2024-10-21,262.33,490.28,96.32,153.8,482.24
2024-10-22,267.52,495.29,98.43,153.17,486.41
2024-10-23,271.95,498.16,99.24,155.18,489.93
2024-10-24,278.96,501.67,102.34,155.98,493.51
2024-10-25,276.12,498.36,101.07,155.79,491.43
2024-10-28,286.45,513.15,103.86,161.57,502.44
2024-10-29,286.16,507.62,102.31,160.85,502.1
2024-10-30,288.92,510.95,103.86,161.6,505.5
2024-10-31,296.06,525.69,108.31,166.0,515.2
2024-11-01,291.97,526.24,107.35,161.73,511.42
2024-11-04,293.71,517.24,104.87,162.56,509.29
2024-11-05,294.07,509.86,106.26,165.68,511.26
2024-11-06,289.52,508.07,107.03,164.57,509.31
2024-11-07,287.93,509.78,106.79,163.69,505.83
2024-11-08,281.02,506.9,107.67,164.98,507.35
2024-11-11,279.17,504.91,107.76,164.34,510.11
2024-11-12,273.9,496.19,105.65,159.93,506.13
2024-11-13,265.91,492.61,105.33,158.85,505.62
2024-11-14,276.45,506.87,109.6,165.67,517.88
2024-11-15,274.79,501.72,109.68,163.97,518.05
2024-11-18,278.82,504.86,111.25,166.38,521.52
2024-11-19,284.44,512.35,113.42,164.79,527.21
2024-11-20,278.67,504.06,113.93,167.98,524.17
2024-11-21,273.81,500.81,112.37,166.96,518.0
2024-11-22,279.29,515.99,113.14,167.99,522.5
2024-11-25,283.16,511.13,113.57,168.39,521.41
2024-11-26,286.96,506.27,111.8,166.12,521.69
2024-11-27,286.04,501.61,111.9,164.78,518.81
2024-11-28,285.34,503.13,115.89,164.63,521.9
2024-11-29,285.32,502.45,118.14,168.04,525.75
2024-12-02,284.0,497.34,117.88,166.87,522.68
2024-12-03,287.75,496.34,117.45,169.61,524.31
2024-12-04,291.56,497.12,119.33,170.04,530.15
2024-12-05,296.01,505.24,123.55,175.14,535.91
